Percent_ Fair/Poor,Physically_Unhealthy_Days,Mentally _Unhealthy Days,Percent_ LBW,Percent_ Smokers,Percent_ Obese,Percent_ Physically Inactive,Percent_ Excessive_Drinking,Chlamydia_Rate,Teen_Birth_Rate,PCP_Rate,Dentist_Rate,MHP_Rate,ACSC_Rate,HS_Graduation_Rate,Percent_ Unemployed,Percent_ Children_Poverty,Percent_ Single_Parent_Households,Violent_Crime_Rate,Younger_than_18,65_over,African_American,American_Indian ,Asian,Native_Hawaiian ,Hispanic,NonHispanic_white,Percent_ Not_Proficient_English,Female,Rural,Percent_ Diabetic,HIV_Rate,Age_adjusted_Mortality,Infant_mortality_rate,Child_mortality_rate,Percent_ Adults_Uninsured,Health_Costs,Percent_ Couldn't_Access_Doctor,Household_Income,Percent_ Free_Lunch
20,4.2,3.5,8.4,21,29,27,13,382,43,45,30,80,99,76,9.3,28,38,598,25.6,11.9,9.4,0.8,3,0.2,46.8,39.3,9.6,50.8,7.8,10,349,315.5,8,64.9,32,11858,21,42743,54
12,3.3,3.4,9.2,14,22,23,15,273,32,78,66,138,51,74,8.8,23,37,550,20.1,22.1,17.1,0.6,2.5,0.1,19.5,59.6,6.5,51.6,1,10,673,298.2,6.6,56.2,30,11608,14,51217,46
19,4.6,4.9,8.2,26,29,29,20,225,36,53,30,56,71,71,9.9,19,27,339,20.6,21.8,4.3,0.4,2.3,0.1,12.1,79.5,2.1,51.4,9.5,11,162,402.8,7,52.9,25,11435,19,42695,44
14,3.7,4,8.5,20,24,20,17,422,37,88,62,140,61,65,8.5,21,41,676,17.3,22.1,10.2,0.4,3.1,0.1,8.3,76.5,2.6,52,0.3,11,423,386.4,7.7,67.2,27,11547,15,44819,43
21,4,3.7,8.2,20,32,26,14,399,55,48,27,55,80,66,9.8,28,38,427,23,18.8,14.4,0.6,1.8,0.1,18.2,64.1,4.6,51,13.5,12,334,376.7,8.1,69.4,28,10915,21,41337,58
27,4.6,5.7,9.7,27,34,34,14,411,72,39,30,42,92,63,11.2,42,50,961,22.1,20.1,16.2,0.6,0.6,0.1,9.4,72.1,1.6,50.5,56.2,15,390,506,11.1,76.9,28,10899,20,33593,73
12,3,3.3,6.7,14,23,18,21,182,21,85,46,108,64,85,6.9,12,23,316,22.3,17,5.5,0.3,2.2,0.1,5.5,85.1,0.8,51.4,23.8,8,158,285.7,5.8,43.4,18,10251,10,62112,20
18,4.2,4.1,8.3,16,29,26,13,347,44,38,34,95,53,65,11.1,29,39,418,21.5,21.4,18.7,0.6,1.7,0.1,16.8,61,3.7,51.2,3.4,13,630,345.5,6.8,57,32,10843,20,41934,53
12,4.1,3.1,7.6,24,28,25,17,234,33,65,24,45,75,78,7.7,18,26,158,22.9,13.6,6,0.9,2,0.2,4.6,84,0.9,49,21,10,146,357.7,6.5,47,22,10463,16,59854,34
12,3.2,4.1,7.3,19,20,19,17,257,30,77,69,143,36,71,8.6,22,35,387,15.3,32.5,4.6,0.3,1.4,0.1,8.2,84.6,2.1,52.2,4.3,10,229,300.9,4.2,41.7,26,9706,15,48239,41
13,2.9,3,8,18,25,21,20,352,24,76,51,118,70,79,7.8,17,31,380,22,13.3,10.6,0.4,3.9,0.1,17.8,65.8,2.3,51.6,3.2,11,256,295.2,6.4,49.7,23,11307,15,54901,33
15,3.6,3.6,9.2,13,28,22,11,226,71,17,26,31,53,75,7.4,34,36,223,8.3,49.3,9,0.4,0.7,0.1,5.9,83.3,1.6,48.3,35,14,205,311.1,9.4,82.2,20,10483,9,47017,50
23,5.2,4.6,8.1,24,31,30,14,405,65,17,16,16,84,54,7.7,41,38,491,21.8,18.9,12.7,0.7,0.6,0.1,8.9,76.3,3.9,48,83.2,12,219,473.3,9.7,97.1,28,9312,20,34434,59
24,5.6,4.8,9.9,29,36,31,14,309,71,35,48,4,67,61,9.3,32,49,806,19.1,16.9,20.4,0.9,0.7,0,3.6,73,0.6,44.4,69.3,13,498,452.7,,110.5,24,9189,20,36257,62
22,4.6,4.1,9,27,38,31,15,936,67,19,20,39,128,73,7.3,27,32,275,19,11.2,21.8,0.4,0.2,0,5.1,71.4,0.5,35.6,67.4,14,3440,883.5,,,24,11519,21,39486,51
21,4.5,4.9,8.3,22,26,26,17,298,38,66,43,89,55,62,8.8,32,37,535,18.4,22.2,10.2,0.4,1.6,0.1,11.5,75.1,1.7,51.2,9.9,12,311,404.9,6.9,65.6,26,10127,19,40114,48
19,4.1,4.4,8.8,25,36,28,21,458,34,29,16,36,67,75,7.1,23,33,322,21.7,12,14.4,0.7,0.5,0.1,3.4,79.5,0.3,44.9,61.7,11,250,374.2,9.5,61.6,21,10081,16,46773,40
20,4.6,4.4,8.7,23,27,27,18,235,51,43,33,61,90,74,5.6,28,35,399,20.1,17.5,5.8,0.9,1,0.2,5.4,85,1.7,48.7,63.1,11,151,425.9,7.8,69,27,10746,15,40239,44
35,8.4,5.8,9,27,36,32,7,305,55,28,24,20,93,63,9.4,34,35,179,20.6,16.4,14.7,1.3,0.6,0.1,3.2,78.4,0.4,46,84.6,13,522,519.1,,56.3,27,11243,17,36560,54
